"The Priory of the Orange Tree"
"Harrow the Ninth"
"This Is How You Lose the Time War (again)"
"Metro 2033"
"one of the Supergirl books"
"Percy Jackson 5"
"Kouzla Rodu Thornu"
"A World Without End"
"The Seven Husbands of Evelyn Hugo"
"A Little Life"
"The Name of the Wind"
"Im Westen nichts Neues"
"Die drei Musketiere"
"The Pillars of the Earth"
"a Wheel of Time book"
"Der Zahlenteufel"
